option_type,DTE_bin,log_m_bin,n,mean_return,std_return,downside_std,sharpe,sortino
CALL,0-7,≤-0.6,8735,0.0007275828726524085,0.08992434100380858,0.06607488505471518,0.00809105593135893,0.011011489040804429
CALL,0-7,-0.6 – -0.3,13699,0.00895646526949892,0.15407258455505476,0.12356802614634507,0.05813146638231739,0.07248206149130786
CALL,0-7,-0.3 – -0.1,17655,0.018468895740579607,0.31494979535306566,0.2236628229435679,0.05864076120410101,0.08257472340514754
CALL,0-7,-0.1 – 0.1,20203,-0.01892719557939662,1.6050371457472834,0.3607128506193222,-0.01179237230088178,-0.052471642046851855
CALL,0-7,0.1 – 0.3,3897,-0.8356645272616999,1.2636033772377129,0.014225582410981324,-0.6613345154936953,-58.74378307468209
CALL,0-7,0.3 – 0.6,1396,-1.0,0.0,0.0,,
CALL,0-7,> 0.6,171,-1.0,0.0,0.0,,
CALL,8-14,≤-0.6,6658,0.008080593043196329,0.18063282552153886,0.14254010541111295,0.044734909172047414,0.056689961185943785
CALL,8-14,-0.6 – -0.3,10444,0.02774385676448504,0.2801110122369903,0.2148952804937267,0.09904593376361838,0.12910407664953324
CALL,8-14,-0.3 – -0.1,13329,0.051783008340489656,0.5459930233176841,0.3253085931400236,0.0948418864875493,0.15918118805487727
CALL,8-14,-0.1 – 0.1,18576,0.2467208172215396,1.996817260921937,0.28172963460163764,0.12355703351023108,0.8757361204489542
CALL,8-14,0.1 – 0.3,9577,-0.6745355363541027,1.7108657480620788,0.034188784357837405,-0.3942656150069977,-19.72973151937977
CALL,8-14,0.3 – 0.6,1605,-1.0,0.0,0.0,,
CALL,8-14,> 0.6,171,-1.0,0.0,0.0,,
CALL,15-30,≤-0.6,13979,0.017980616139165066,0.27057940725091195,0.18398536145481031,0.0664522711534045,0.09772851490460227
CALL,15-30,-0.6 – -0.3,22449,0.06729568668880989,0.41170845209536033,0.28720942928550947,0.1634547125430954,0.2343087650576838
CALL,15-30,-0.3 – -0.1,26233,0.12605224259872827,0.7304854214696311,0.3547929834175751,0.17255955956674587,0.35528392186485425
CALL,15-30,-0.1 – 0.1,38458,0.49270356266381216,2.1311766753512726,0.2704215445467366,0.23118851119304876,1.8219833907451808
CALL,15-30,0.1 – 0.3,25758,-0.25752829592605375,2.510657477696157,0.05939051746992863,-0.10257404612690069,-4.336185419775957
CALL,15-30,0.3 – 0.6,11637,-0.9882204242996272,0.3455013942611523,0.0,-2.860250177609027,
CALL,15-30,> 0.6,318,-1.0,0.0,0.0,,
CALL,31-60,≤-0.6,15478,0.024961131262144623,0.376576537051957,0.2512261826444139,0.06628435073930453,0.09935720472843655
CALL,31-60,-0.6 – -0.3,22237,0.12452093691392449,0.5582892342348202,0.342639709254913,0.22304019006311365,0.3634165379859253
CALL,31-60,-0.3 – -0.1,24213,0.20299586128663785,0.9069228583227197,0.35858837359329915,0.22382924790545278,0.5660971638664171
CALL,31-60,-0.1 – 0.1,35843,0.589323504684215,2.094859180063347,0.2636044671855162,0.2813189116923813,2.2356354995663574
CALL,31-60,0.1 – 0.3,27885,0.16101797448874505,2.9280375553754316,0.08527920095091468,0.05499177228555028,1.8881271481591904
CALL,31-60,0.3 – 0.6,19050,-0.7869612819710058,1.4823067201792641,0.010584647421763708,-0.5309031331085337,-74.34931468315978
CALL,31-60,> 0.6,844,-1.0,0.0,0.0,,
CALL,61-120,≤-0.6,17560,0.020995430417449678,0.5030666500727065,0.3169418505288691,0.04173488823879556,0.06624379324603356
CALL,61-120,-0.6 – -0.3,16028,0.08474482660009099,0.7620802766057097,0.3454366782238468,0.1112019680886412,0.24532666026036584
CALL,61-120,-0.3 – -0.1,13190,0.21170360120881782,1.1597774164258212,0.33621599950134323,0.1825381303433565,0.6296654576903085
CALL,61-120,-0.1 – 0.1,14760,0.5967007894828125,2.1175868752749496,0.21515812885365695,0.2817833810975695,2.773312784703884
CALL,61-120,0.1 – 0.3,16989,0.8693828361618167,3.5356271432648643,0.0949026050951706,0.24589211501499342,9.16079000455234
CALL,61-120,0.3 – 0.6,15654,-0.3883586016318926,2.436969321476196,0.027641304137794826,-0.15936130102640936,-14.049937719866035
CALL,61-120,> 0.6,2023,-0.994330629855428,0.24478241375072265,0.010432971045961583,-4.062099946722551,-95.30656468564779
CALL,121-365,≤-0.6,36519,-0.06135211001212152,0.796156278725906,0.2413606847252755,-0.07706038582061263,-0.2541926415313019
CALL,121-365,-0.6 – -0.3,20967,0.07203200790506717,1.1625384933270717,0.3030747917057992,0.06196096586782137,0.23767073302153777
CALL,121-365,-0.3 – -0.1,18679,0.213488101862932,1.4804610889202963,0.2586139532662639,0.14420379127872207,0.8255088295376266
CALL,121-365,-0.1 – 0.1,22045,0.5824112197872868,2.1527096172071007,0.16710105346627868,0.27054797132504105,3.4853832917625414
CALL,121-365,0.1 – 0.3,21700,0.8354849330767913,3.323528382918678,0.11543138482281659,0.25138492494024667,7.2379356304113776
CALL,121-365,0.3 – 0.6,21326,0.33624228252667465,3.4933017853643284,0.04250838918434015,0.09625343104778644,7.910021738733502
CALL,121-365,> 0.6,7320,-0.5657103825136612,2.1422430443585845,0.0,-0.26407385660717236,
CALL,>365,≤-0.6,19414,-0.464114740871888,1.1108417534275292,0.2205806316341374,-0.41780455176432707,-2.104059352054466
CALL,>365,-0.6 – -0.3,8342,-0.15285122776408475,1.7953097447653326,0.1940015523796871,-0.0851391957347528,-0.7878866219840053
CALL,>365,-0.3 – -0.1,6288,0.12167714091844233,2.43473177530116,0.12132625494087501,0.0499755834103704,1.0028920861172077
CALL,>365,-0.1 – 0.1,6038,0.7161824303672705,3.533857270114849,0.05079413839624259,0.20266308897755647,14.099706245243622
CALL,>365,0.1 – 0.3,6207,0.877995933058802,4.03165647604635,0.005887656271823959,0.2177754821809149,149.12486268271982
CALL,>365,0.3 – 0.6,5688,0.7769787495695177,4.041293343607104,0.0,0.1922599236203963,
CALL,>365,> 0.6,410,1.4682926829268292,4.594588026333935,0.0,0.31957004077651635,
PUT,0-7,≤-0.6,1669,-0.9934092270820851,0.26925545880643553,0.0,-3.6894673611658693,
PUT,0-7,-0.6 – -0.3,2486,-0.9424778761061947,0.7935287403008,0.0,-1.1877047777109284,
PUT,0-7,-0.3 – -0.1,6660,-0.8211489447537467,1.3644399524623676,0.02129909920516748,-0.6018212404817387,-38.55322409853482
PUT,0-7,-0.1 – 0.1,20585,-0.11814816723688233,1.6722738659563987,0.35435139858132547,-0.07065120710315688,-0.3334209141261981
PUT,0-7,0.1 – 0.3,15678,0.001482777070851893,0.38550177549127806,0.20512284308508347,0.003846356009546941,0.007228727179043866
PUT,0-7,0.3 – 0.6,10683,0.0011570250496548181,0.14618900858543135,0.0897043466445386,0.007914583051424584,0.0128982049692601
PUT,0-7,> 0.6,3055,0.3561795808162608,1.757451169902334,0.05255781517605623,0.20266826579088087,6.776909953793618
PUT,8-14,≤-0.6,717,-0.8772663877266388,1.156231261131526,0.0,-0.7587291722835076,
PUT,8-14,-0.6 – -0.3,3384,-0.6391843971631206,1.9595709886687773,0.0,-0.32618588500197515,
PUT,8-14,-0.3 – -0.1,12088,-0.547689263700246,2.0628982116265706,0.028225163426959243,-0.26549504993191086,-19.404290257434646
PUT,8-14,-0.1 – 0.1,18580,-0.008916911065417848,2.058928243394344,0.2618894395826967,-0.004330850817179257,-0.03404837965068904
PUT,8-14,0.1 – 0.3,12219,-0.024895816103975132,0.6633752935969206,0.2861050617797789,-0.03752900710092212,-0.08701634269979455
PUT,8-14,0.3 – 0.6,8756,-0.009416079914743043,0.27044115716626455,0.13132289716301196,-0.03481748123475943,-0.07170173761133827
PUT,8-14,> 0.6,2470,0.4500722571415502,2.0119034736423567,0.06921659287339055,0.22370469708804563,6.502375203079012
PUT,15-30,≤-0.6,3242,-0.5453423812461443,2.189977075135606,0.0,-0.24901739266488718,
PUT,15-30,-0.6 – -0.3,17018,-0.5545287178760959,2.1655978429104232,0.0,-0.2560626478694887,
PUT,15-30,-0.3 – -0.1,26175,-0.19024482705684995,2.7088207826310873,0.05259110586837611,-0.07023160346254596,-3.6174334788279716
PUT,15-30,-0.1 – 0.1,38458,0.10970753552912225,2.4467927903371125,0.23985277776727984,0.04483728085286987,0.45739530953261404
PUT,15-30,0.1 – 0.3,26551,-0.06017125131546715,0.8776969243495104,0.3291815501505697,-0.06855584159653061,-0.1827904731840057
PUT,15-30,0.3 – 0.6,20708,-0.03576903020436357,0.37048845497827776,0.19827506032052036,-0.09654560006859257,-0.18040105571795745
PUT,15-30,> 0.6,5076,0.3614781732435932,1.7816404591721595,0.10128006747040472,0.20289064013036295,3.569094909511406
PUT,31-60,≤-0.6,7907,-0.385316258021236,2.5263604141470823,0.0,-0.15251832472656976,
PUT,31-60,-0.6 – -0.3,21755,-0.41778823866312675,2.4335977907943107,0.01412205647922189,-0.17167513885964014,-29.584093455356754
PUT,31-60,-0.3 – -0.1,24213,0.049974396567761196,2.9364378717642152,0.06973720370100102,0.017018714084945555,0.7166102727896424
PUT,31-60,-0.1 – 0.1,35843,0.24434024802922855,2.7695672969764096,0.23152964594385367,0.08822325721999229,1.0553302884092928
PUT,31-60,0.1 – 0.3,27908,-0.05706572582576086,1.0664927415673504,0.3278611006046017,-0.053507842671198416,-0.17405457896812754
