option_type,quarter,DTE_bin,log_m_bin,n,mean_return
CALL,2020-Q1,0-7,-0.1 – 0.1,1400,-0.2943425785007961
CALL,2020-Q1,0-7,-0.3 – -0.1,1042,-0.013284082262848444
CALL,2020-Q1,0-7,-0.6 – -0.3,547,-0.023208178042640394
CALL,2020-Q1,0-7,0.1 – 0.3,987,-0.8858907218605326
CALL,2020-Q1,0-7,0.3 – 0.6,526,-1.0
CALL,2020-Q1,0-7,> 0.6,58,-1.0
CALL,2020-Q1,0-7,≤-0.6,261,-0.02332379545344174
CALL,2020-Q1,121-365,-0.1 – 0.1,1699,5.302523002036621
CALL,2020-Q1,121-365,-0.3 – -0.1,1328,3.2371244904725383
CALL,2020-Q1,121-365,-0.6 – -0.3,1627,2.2227062464196305
CALL,2020-Q1,121-365,0.1 – 0.3,1796,8.772659115218335
CALL,2020-Q1,121-365,0.3 – 0.6,1575,9.815134158697697
CALL,2020-Q1,121-365,> 0.6,268,10.0
CALL,2020-Q1,121-365,≤-0.6,1591,1.410503007228169
CALL,2020-Q1,15-30,-0.1 – 0.1,2732,0.3422788360366978
CALL,2020-Q1,15-30,-0.3 – -0.1,1764,0.05275781880480117
CALL,2020-Q1,15-30,-0.6 – -0.3,1105,0.009385777223527323
CALL,2020-Q1,15-30,0.1 – 0.3,1910,-0.23270834483409256
CALL,2020-Q1,15-30,0.3 – 0.6,1004,-0.9288508355229926
CALL,2020-Q1,15-30,> 0.6,68,-1.0
CALL,2020-Q1,15-30,≤-0.6,428,-0.07527840212940465
CALL,2020-Q1,31-60,-0.1 – 0.1,2767,0.4361949928046267
CALL,2020-Q1,31-60,-0.3 – -0.1,1643,0.17127189433844034
CALL,2020-Q1,31-60,-0.6 – -0.3,1184,0.19137011728474296
CALL,2020-Q1,31-60,0.1 – 0.3,2111,0.4088841680808767
CALL,2020-Q1,31-60,0.3 – 0.6,1066,-0.21036291280730146
CALL,2020-Q1,31-60,> 0.6,102,-1.0
CALL,2020-Q1,31-60,≤-0.6,559,0.018420638076783877
CALL,2020-Q1,61-120,-0.1 – 0.1,1011,1.9121224406857853
CALL,2020-Q1,61-120,-0.3 – -0.1,830,1.0961526528861338
CALL,2020-Q1,61-120,-0.6 – -0.3,897,0.7142008612555872
CALL,2020-Q1,61-120,0.1 – 0.3,1099,2.6209644707248816
CALL,2020-Q1,61-120,0.3 – 0.6,666,0.8281244809911451
CALL,2020-Q1,61-120,> 0.6,54,-0.7876085962505717
CALL,2020-Q1,61-120,≤-0.6,604,0.473681020769216
CALL,2020-Q1,8-14,-0.1 – 0.1,1172,0.13171575802975577
CALL,2020-Q1,8-14,-0.3 – -0.1,800,-0.03564825331767034
CALL,2020-Q1,8-14,-0.6 – -0.3,510,-0.030997598634213246
CALL,2020-Q1,8-14,0.1 – 0.3,855,-0.3984486982947977
CALL,2020-Q1,8-14,0.3 – 0.6,473,-1.0
CALL,2020-Q1,8-14,> 0.6,46,-1.0
CALL,2020-Q1,8-14,≤-0.6,242,-0.018208687875343726
CALL,2020-Q1,>365,-0.1 – 0.1,1215,4.635321071473189
CALL,2020-Q1,>365,-0.3 – -0.1,1174,2.6079673577533575
CALL,2020-Q1,>365,-0.6 – -0.3,1522,1.7225607290949618
CALL,2020-Q1,>365,0.1 – 0.3,1246,4.914936876857227
CALL,2020-Q1,>365,0.3 – 0.6,1171,4.260461144321093
CALL,2020-Q1,>365,> 0.6,194,3.8195876288659796
CALL,2020-Q1,>365,≤-0.6,1748,1.6056939876330198
CALL,2020-Q2,0-7,-0.1 – 0.1,1700,-0.12648185031108672
CALL,2020-Q2,0-7,-0.3 – -0.1,1456,0.07273912285675255
CALL,2020-Q2,0-7,-0.6 – -0.3,1021,0.040483333284334316
CALL,2020-Q2,0-7,0.1 – 0.3,1262,-1.0
CALL,2020-Q2,0-7,0.3 – 0.6,423,-1.0
CALL,2020-Q2,0-7,≤-0.6,891,0.02695001836286096
