option_type,delta,gamma,theta,vega,iv,return_exp
PUT,-0.90657,0.0003,-0.27741,0.29187,0.54741,-0.4326721961774252
PUT,-1.0,0.0,0.0,0.0,,-0.0157567832625042
PUT,-0.95007,0.00418,-0.25872,0.03821,0.59643,0.061257142857143
PUT,-0.90666,0.00177,-1.12408,0.08052,1.074,-0.2506050605060506
PUT,-0.983,0.00084,-0.05891,0.02173,0.92607,-0.1489907564610453
PUT,-0.91446,0.00103,-0.21261,0.12606,0.56446,-0.4844879108937789
PUT,-1.0,0.0,0.0,0.0,,0.0383063182269268
PUT,-0.90748,0.00127,-0.17074,0.09477,0.64175,0.2389037433155083
PUT,-1.0,0.0,0.0,0.0,,0.0271848829718699
PUT,-1.0,0.0,0.0,0.0,,-0.0284611335321986
PUT,-0.91421,0.00039,-0.05054,0.11772,0.38321,-0.382564897326618
PUT,-1.0,0.0,0.0,0.0,,0.0998151571164509
PUT,-1.0,0.0,0.0,0.0,,0.307660283097419
PUT,-1.0,0.0,0.0,0.0,,0.0978522786799371
PUT,-1.0,0.0,0.0,0.0,,0.3773044436283512
PUT,-0.91189,0.00766,-0.11023,0.08242,0.40074,-1.0
PUT,-1.0,0.0,0.0,-786.00049,0.00195,-0.002250080360013
PUT,-0.93483,0.00412,-0.24856,0.13658,0.28355,-0.9783400809716588
PUT,-0.94993,0.00152,-0.0419,0.14246,0.46614,-0.8456659619450319
PUT,-0.90122,0.02274,-0.32198,0.04445,0.29419,-1.0
PUT,-0.93356,0.00116,-0.34515,0.07698,0.55698,-0.504048429814605
PUT,-1.0,0.0,0.0,0.0,,0.018435155412647
PUT,-0.92588,0.00095,-0.10041,0.04116,0.62764,-0.2025412960609912
PUT,-1.0,0.0,0.0,0.0,,-0.0591526905651379
PUT,-1.0,0.0,0.0,0.0,,0.1109097246427328
PUT,-0.98995,0.00053,-0.19577,0.0097,1.41286,0.0671811962813542
PUT,-0.95206,0.00172,-0.01898,0.17763,0.32087,-1.0
PUT,-1.0,0.0,0.0,0.0,,0.4206476190476191
PUT,-0.90614,0.00027,-0.15654,0.29434,0.45541,-0.8535393258426963
PUT,-0.90865,0.00109,-0.06344,0.09916,0.46127,-1.0
PUT,-0.90089,0.0009,-0.17731,0.27438,0.47772,-1.0
PUT,-1.0,0.0,0.0,0.0,,0.2975848792439623
PUT,-1.0,0.0,0.0,0.0,,-0.0113857016769638
PUT,-0.9738,0.00048,-0.06892,0.12359,0.61302,-0.2620129381675945
PUT,-1.0,0.0,0.0,0.0,,0.0762172103378184
PUT,-1.0,0.0,0.0,0.0,,0.2134641105662059
PUT,-1.0,0.0,0.0,0.0,,0.2174867021276596
PUT,-1.0,0.0,0.0,0.0,,0.0424307036247333
PUT,-0.98226,0.01127,-0.06482,0.00409,0.43295,-0.0079027355623104
PUT,-1.0,0.0,0.0,0.0,,0.2171831587946142
PUT,-1.0,0.0,0.0,0.0,,-0.0575584606886393
PUT,-1.0,0.0,0.0,0.0,,-0.1654901960784315
PUT,-0.93801,0.00468,-0.73146,0.02147,1.48138,0.087173913043478
PUT,-1.0,0.0,0.0,0.0,,-0.0343146000594707
PUT,-0.93464,0.00129,-0.32476,0.05677,0.68746,-0.3279466888796329
PUT,-0.97754,0.00171,-0.02044,0.04059,0.40872,0.2498637602179836
PUT,-0.90227,0.00241,-0.17622,0.24071,0.51766,-0.3639045553145336
PUT,-1.0,0.0,0.0,0.0,,-0.2558215674237775
PUT,-0.92449,0.00842,-0.05635,0.07566,0.31668,-1.0
PUT,-1.0,0.0,0.0,0.0,0.00026,-0.5334586466165413
PUT,-1.0,0.0,0.0,0.0,,0.0681068789084708
PUT,-1.0,0.0,0.0,0.0,,0.0545045045045046
PUT,-0.90503,0.00132,-0.29676,0.05308,0.9866,-0.4601651592607158
PUT,-1.0,0.0,0.0,0.0,,0.4607364199781261
PUT,-0.99978,0.0,-0.15428,0.0,0.00254,-0.0018433179723498
PUT,-0.92325,0.00838,-0.03634,0.04423,0.44776,-0.3036572622779521
PUT,-0.95235,0.00245,-0.06609,0.09986,0.31894,1.0173553719008268
PUT,-0.90626,0.01512,-0.18706,0.03136,0.46272,-0.2491493383742906
PUT,-1.0,0.0,0.0,0.12409,,0.005163606240508
PUT,-1.0,0.0,0.0,0.0,,0.0315403742965582
PUT,-0.98741,0.00036,-0.06298,0.04334,0.67221,0.0088723861637678
PUT,-1.0,0.0,0.0,0.0,,0.0046274134354555
PUT,-1.0,0.0,0.0,-704.60007,0.00191,-0.01054131054131
PUT,-0.99867,0.0,-0.00598,0.0,-3e-05,-1.0
PUT,-0.90275,0.00305,-0.04162,0.09523,0.46582,-0.2426035502958579
PUT,-1.0,0.0,0.0,0.0,,0.392790574995604
PUT,-1.0,0.0,0.0,0.0,,-0.0848860033217573
PUT,-1.0,0.0,0.0,0.0,,-0.0013485650599053
PUT,-1.0,0.0,0.0,0.0,,-0.4879458059374377
PUT,-1.0,0.0,0.0,0.0,,-0.0501242592238578
PUT,-0.97321,0.00137,-0.40152,0.03489,0.81482,0.16226603443973
PUT,-1.0,0.0,0.0,0.0,,-0.0460804769001491
PUT,-1.0,0.0,0.0,0.0,,0.0329602127895378
PUT,-0.91825,0.00027,-0.25341,0.15242,0.55534,-0.0460665044606649
PUT,-0.90823,9e-05,-0.24474,0.09216,1.33073,-0.1970915566107731
PUT,-1.0,0.0,0.0,0.0,,0.0274656476136269
PUT,-0.91642,0.00441,-0.10607,0.02866,0.758,0.2268817204301077
PUT,-1.0,0.0,0.0,0.836,,-0.5665956540264168
PUT,-1.0,0.0,0.0,0.0,,0.1517554032683184
PUT,-0.9144,0.0018,-0.76515,0.02486,2.38457,-0.0107632782272247
PUT,-0.90058,0.00721,-0.08288,0.1122,0.38149,-0.8648044692737437
PUT,-0.97987,0.0,-4.86537,0.0,0.00185,-0.0094003241491084
PUT,-1.0,0.0,0.0,0.0,,-1.0
PUT,-0.98308,0.00154,-0.09615,0.00931,1.17391,-0.0931658662726264
PUT,-0.91527,0.00334,-0.28534,0.14232,0.35778,0.3681925436526667
PUT,-1.0,0.0,0.0,0.0,,0.0385135135135134
PUT,-1.0,0.0,0.0,0.0,,0.412459464072367
PUT,-0.92606,0.00318,-0.1338,0.09543,0.65688,0.4580604534005038
PUT,-0.91452,0.003,-0.35405,0.14424,0.56954,-0.0279465370595382
PUT,-1.0,0.0,0.0,0.0,,0.2791176158659453
PUT,-1.0,0.0,0.0,0.0,,-0.906080449017774
PUT,-0.99078,0.00022,-0.51009,0.00487,4.30713,-0.0015939990623532
PUT,-1.0,0.0,0.0,0.0,,-0.1659321024419299
PUT,-0.92728,0.00517,-0.16761,0.05874,0.62999,0.1394144144144145
PUT,-0.93364,0.00268,-0.2185,0.19492,0.31841,-1.0
PUT,-1.0,0.0,0.0,0.0,,0.3629002381582429
PUT,-0.91691,0.00126,-0.08622,0.07624,0.49532,0.1417269657501202
PUT,-0.96573,0.00142,-0.06441,0.06044,0.59457,-0.2714582467802242
PUT,-0.95748,0.00111,-0.11758,0.08932,0.78517,-0.1145749549299681
PUT,-0.98422,0.00069,-0.06859,0.02182,1.02943,0.1449509521061741
PUT,-0.92482,0.00057,-0.26417,0.16436,0.47563,0.3087719298245618
PUT,-1.0,0.0,0.0,0.0,,0.0096646942800787
PUT,-0.9609,0.00326,-0.02984,0.05313,0.40872,-0.3257943925233646
