option_type,near_earn,DTE_bin,log_m_bin,n,mean_return
CALL,False,0-7,-0.1 – 0.1,10609,-0.14953813852957812
CALL,False,0-7,-0.3 – -0.1,8043,0.012002978407300843
CALL,False,0-7,-0.6 – -0.3,6202,0.005430464682837491
CALL,False,0-7,0.1 – 0.3,7167,-0.9432340965039877
CALL,False,0-7,0.3 – 0.6,4879,-1.0
CALL,False,0-7,> 0.6,1383,-1.0
CALL,False,0-7,≤-0.6,3950,-0.003053613161939175
CALL,False,121-365,-0.1 – 0.1,10183,0.5841906509377258
CALL,False,121-365,-0.3 – -0.1,8649,0.20999896643229823
CALL,False,121-365,-0.6 – -0.3,9613,0.0754836531977879
CALL,False,121-365,0.1 – 0.3,10095,0.8493014477629297
CALL,False,121-365,0.3 – 0.6,9892,0.4044295419193716
CALL,False,121-365,> 0.6,3703,-0.5841209829867675
CALL,False,121-365,≤-0.6,16791,-0.06133320783686147
CALL,False,15-30,-0.1 – 0.1,17758,0.5204265872947668
CALL,False,15-30,-0.3 – -0.1,11968,0.13135164875110972
CALL,False,15-30,-0.6 – -0.3,10250,0.07178344965673987
CALL,False,15-30,0.1 – 0.3,12211,-0.20818554056200417
CALL,False,15-30,0.3 – 0.6,9498,-0.9626682808017383
CALL,False,15-30,> 0.6,2421,-1.0
CALL,False,15-30,≤-0.6,6139,0.01986359917990939
CALL,False,31-60,-0.1 – 0.1,16465,0.6289223232504081
CALL,False,31-60,-0.3 – -0.1,10955,0.2115529181709137
CALL,False,31-60,-0.6 – -0.3,10116,0.12936738325639183
CALL,False,31-60,0.1 – 0.3,12799,0.24475487268846688
CALL,False,31-60,0.3 – 0.6,9939,-0.724477674866566
CALL,False,31-60,> 0.6,2733,-1.0
CALL,False,31-60,≤-0.6,7062,0.02568822728070537
CALL,False,61-120,-0.1 – 0.1,6818,0.6308722903517272
CALL,False,61-120,-0.3 – -0.1,6050,0.22550176854652815
CALL,False,61-120,-0.6 – -0.3,7469,0.09136026913150946
CALL,False,61-120,0.1 – 0.3,7991,0.8876200773433689
CALL,False,61-120,0.3 – 0.6,7416,-0.42783504441335857
CALL,False,61-120,> 0.6,2501,-0.9956017592962815
CALL,False,61-120,≤-0.6,8116,0.028331241197274627
CALL,False,8-14,-0.1 – 0.1,8660,0.2190160806516435
CALL,False,8-14,-0.3 – -0.1,6122,0.04794305484676167
CALL,False,8-14,-0.6 – -0.3,4775,0.02289624739646558
CALL,False,8-14,0.1 – 0.3,5667,-0.7228565539844203
CALL,False,8-14,0.3 – 0.6,4087,-1.0
CALL,False,8-14,> 0.6,1200,-1.0
CALL,False,8-14,≤-0.6,3127,0.0030498734291832244
CALL,False,>365,-0.1 – 0.1,2775,0.7319598315150492
CALL,False,>365,-0.3 – -0.1,2888,0.13042324468082658
CALL,False,>365,-0.6 – -0.3,3837,-0.14859214697123543
CALL,False,>365,0.1 – 0.3,2842,0.9101617015355536
CALL,False,>365,0.3 – 0.6,2699,0.8180673486635512
CALL,False,>365,> 0.6,204,1.642156862745098
CALL,False,>365,≤-0.6,8879,-0.4660897865775497
CALL,True,0-7,-0.1 – 0.1,879,0.045772672442909855
CALL,True,0-7,-0.3 – -0.1,799,0.07573661886553447
CALL,True,0-7,-0.6 – -0.3,648,0.04355010488012751
CALL,True,0-7,0.1 – 0.3,659,-0.9917592660914114
CALL,True,0-7,0.3 – 0.6,464,-1.0
CALL,True,0-7,> 0.6,158,-1.0
CALL,True,0-7,≤-0.6,414,0.037528953120186025
CALL,True,121-365,-0.1 – 0.1,839,0.5404126611097045
CALL,True,121-365,-0.3 – -0.1,707,0.19495518235409667
CALL,True,121-365,-0.6 – -0.3,849,0.043566716832710115
CALL,True,121-365,0.1 – 0.3,776,0.7122696694369083
CALL,True,121-365,0.3 – 0.6,775,-0.5532073329654885
CALL,True,121-365,> 0.6,294,-1.0
CALL,True,121-365,≤-0.6,1448,-0.05504173801049402
CALL,True,15-30,-0.1 – 0.1,1470,0.20358861044368473
CALL,True,15-30,-0.3 – -0.1,1145,0.06328143009386356
CALL,True,15-30,-0.6 – -0.3,996,0.015359631126827875
CALL,True,15-30,0.1 – 0.3,1044,-0.6511975299358364
CALL,True,15-30,0.3 – 0.6,854,-1.0
CALL,True,15-30,> 0.6,121,-1.0
CALL,True,15-30,≤-0.6,852,0.008815432707804478
CALL,True,31-60,-0.1 – 0.1,1446,0.16797235872716115
CALL,True,31-60,-0.3 – -0.1,1156,0.11824447849533407
CALL,True,31-60,-0.6 – -0.3,990,0.06953273482510873
CALL,True,31-60,0.1 – 0.3,1191,-0.7155255233648994
CALL,True,31-60,0.3 – 0.6,894,-1.0
CALL,True,31-60,> 0.6,172,-1.0
CALL,True,31-60,≤-0.6,695,0.0010881796046252998
CALL,True,61-120,-0.1 – 0.1,573,0.22273853971778518
CALL,True,61-120,-0.3 – -0.1,553,0.017485569622081244
CALL,True,61-120,-0.6 – -0.3,541,-0.02595077640462256
CALL,True,61-120,0.1 – 0.3,494,0.5964930685448357
CALL,True,61-120,0.3 – 0.6,443,0.2553397880247351
CALL,True,61-120,> 0.6,210,-1.0
CALL,True,61-120,≤-0.6,649,-0.058262592468729835
CALL,True,8-14,-0.1 – 0.1,640,0.6602305090210329
CALL,True,8-14,-0.3 – -0.1,549,0.08294437546925384
